phrase, srs level, tag, type, result
表, , single, , 
要, , single, , 
要る, , verb, , 
場面, , jukugo, , 
丈夫, , jukugo, , 
急, , single, , 
手軽, , jukugo, , 
技, , single, , 
比例, enlightened, jukugo, , 
勝ち, , hiragana attached, , 
明後日, , jukugo, , X
幸せ, , hiragana attached, , 
治す, , verb, , 
時計, , jukugo, exception, 
留, , single, , 
表す, , verb, , 
敗れる, , verb, , 
場合, , jukugo, , 
果, , single, , 
動かす, , verb, , 
教え, , hiragana attached, , 
参る, , verb, , 
証, , single, , 
支える, burn, verb, , 
残, , single, , 
宿, , single, , 
念願, , jukugo, , 
働く, , verb, , 
払い, , hiragana attached, , 
去, , single, , 
暗い, , hiragana attached, , 
一昨日, , jukugo, , 
下りる, , verb, , 
行う, , hiragana attached, , 
束, , single, , 
国, burn, single, , 
待合, , jukugo, , 
金持ち, , hiragana attached, , 
建前, , hiragana attached, exception, 
是非, , jukugo, , 
選手, , jukugo, , 
化ける, , verb, , 
昨日, , jukugo, , 
計画, , jukugo, , 
方法, enlightened, jukugo, , 
数, burn, single, , 
使い方, enlightened, hiragana attached, , 
詳, , single, , 
器, enlightened, single, , 
折角, , jukugo, , 
不味い, , hiragana attached, , 
伝, , single, , 
情けない, enlightened, hiragana attached, , 
手軽, enlightened, jukugo, , 
葉書, , jukugo, exception, 
必ず, burn, hiragana attached, , 
保守的, enlightened, jukugo, , X
下品, , jukugo, , 
建物, , jukugo, exception, 
一昨年, , jukugo, date, 
住む, burn, verb, , 
頭, burn, single, , 
洗う, , verb, , 
笑顔, , jukugo, , 
立場, burn, jukugo, exception, 
顔付き, burn, hiragana attached, , 
履く, , verb, , 
整える, , verb, , 
等しい, , hiragana attached, , 
告げる, , verb, , 
記念日, , jukugo, , 
許す, , verb, , 
幸運, , jukugo, , 
借りる, , verb, , 
覚える, , verb, , 
たっする, , verb, , 
幸い, , hiragana attached, , 
井, , single, , 
築く, , verb, , 
好む, , verb, , 
細かい, , verb, , 
細い, , hiragana attached, , 
図書館, , jukugo, alternative, 
借り手, , hiragana attached, , 
結果, , jukugo, , 
果物, , jukugo, exception, 
福, , single, , 
難しい, , verb, , 
確かに, , verb, , 
得る, , verb, , 
結局, , jukugo, , 
署, , single, , 
similar, 存|在, , , 
similar, 運|連, , , 
間, burn , single, , X
感, , single, , 
向, burned, single, , 
暴れる, , verb, , 
嫌, , single, , 
嫌い, , hiragana attached, , 
災い, , hiragana attached, , 
similar, 続|歴, , , 
similar, 達|得, , , 
similar, 府|政|官|署, , , 
被る, , verb, , 
布, , single, , 
余, , single, , 
落書き, , hiragana attached, , 
罪, , single, , X
加える, , verb, ,
勇む, , verb, , 
無言, , single, alternative, 
繋がる, , verb, , 
防ぐ, , verb, , 
尾, , single, , 
済む, , verb, , 
節句, , jukugo, , 
similar, 悲|罪, , , 
務める, , verb, , 
喜, , single, , 
種, , single, , 
果てる, , verb, , 
履き物, , hiragana attached, , 
疲れ, , hiragana attached, , 
改まる, , verb, , 
説得する, , verb, , 
選挙, , jukugo, , 
難しい, , hiragana attached, , 
省く, , verb, , 
務める, , verb, , 
断る, , verb, , 
深さ, , hiragana attached, , 
増える, , verb, , 
余る, , verb, , 
企てる, , verb, , 
企画, , jukugo, , 
際, , single, , 
心得, , jukugo, , 
目覚める, , verb, , 
得体, , jukugo, , 
勢い, , hiragana attached, , 
示す, , verb, , 
飛ぶ, , verb, , 
認める, , verb, , 
羨む, , verb, , 
尻尾, , jukugo, exception, 
混む, , verb, , 
嫌悪, , jukugo, , 
下書き, , hiragana attached, , 
閉じる, , verb, , 
嫌味, , jukugo, , 
過去, , jukugo, , 
達する, , verb, , 
過ぎる, , verb, , すぎる
叩く, , verb, , たたく
坊主, , jukugo, excetpion, ぼうず
乱す, , verb, , みだす
通じる, , verb, , つうじる
お持ち帰り, , hiragana attached, , おもちかえり
置く, , verb, , おく
手続き, , hiragana attached, , てつづき
設ける, , verb, , もうける
